,Table 1: Key ASPIRE indicators of  SPL system performance  (Post Transfer - No Adjustments),,,,,,,,,,,,,,,
,Region,Country Code,Income Classification,Country,Year,Coverage   ,,"Benefit Incidence  
 (Poorest 20%)","Average transfer amount
($/day per capita, PPP) ",Adequacy ,,Gini Inequality reduction due to SPL (% of population),Poverty Headcount reduction due to SPL (% of population),Poverty Gap reduction due to SPL (% of population),Benefit- cost ratio of SPL programs,
Status,,,,,, Poorest quintile, Total, Poorest quintile, Total, Poorest quintile, Total,,,,,
,SAR,AFG,Low income,Afghanistan,2007,23.75,15.73,5.87,0.07,37.88,22.99,0.08,1.10,2.44,0.14,
*New survey*,SAR,AFG,Low income,Afghanistan,2011,12.47,8.82,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
,ECA,ALB,Upper middle income,Albania,2008,79.20,67.94,13.15,1.39,27.89,23.99,16.63,42.80,65.43,0.32,
*New survey*,ECA,ALB,Upper middle income,Albania,2012,60.59,55.06,13.24,1.55,34.80,28.24,14.84,38.65,61.36,0.31,
,LAC,ARG,High income,Argentina,2006,37.40,33.34,2.78,2.98,49.59,40.86,6.58,26.54,39.07,0.14,
,LAC,ARG,High income,Argentina,2010,41.29,37.80,5.84,7.19,39.17,37.01,9.77,31.77,49.11,0.20,
*New survey*,LAC,ARG,High income,Argentina,2011,48.10,42.14,10.85,7.80,86.02,29.88,7.03,28.50,47.43,0.17,
*New survey*,LAC,ARG,High income,Argentina,2012,45.85,41.05,10.43,10.87,89.75,32.79,7.46,27.94,49.91,0.16,
,ECA,ARM,Lower middle income,Armenia,2008,70.65,60.86,19.95,1.06,51.08,27.91,20.00,44.57,72.30,0.37,
,ECA,ARM,Lower middle income,Armenia,2009,67.93,60.79,16.71,1.19,53.13,33.98,24.56,50.13,76.44,0.39,
*New survey*,ECA,ARM,Lower middle income,Armenia ,2013,70.21,65.04,16.41,1.18,57.62,33.08,21.77,46.94,73.78,0.35,
,ECA,AZE,Upper middle income,Azerbaijan,2008,94.70,95.13,17.62,2.62,88.22,43.30,37.52,64.73,85.81,0.37,
,SAR,BGD,Lower middle income,Bangladesh,2005,22.52,13.98,15.36,0.34,25.60,27.67,3.44,10.87,31.93,0.28,
,SAR,BGD,Lower middle income,Bangladesh,2010,27.95,19.22,8.66,0.22,6.85,11.94,0.92,5.99,12.33,0.14,
,ECA,BLR,Upper middle income,Belarus,2008,83.59,74.96,14.75,4.79,51.64,37.20,33.80,54.58,79.93,0.41,
,ECA,BLR,Upper middle income,Belarus,2009,82.81,73.86,14.89,4.53,51.15,36.42,33.77,54.05,79.04,0.43,
,ECA,BLR,Upper middle income,Belarus,2010,80.56,74.35,13.99,5.59,51.06,37.03,34.30,55.16,80.91,0.42,
*New survey*,ECA,BLR,Upper middle income,Belarus,2012,82.49,77.25,14.54,6.85,57.04,41.13,37.76,57.82,83.31,0.42,
,LAC,BLZ,Upper middle income,Belize,2009,42.06,39.39,18.94,0.54,53.07,23.35,2.78,10.71,28.10,0.26,
,AFR,BEN,Low income,Benin,2003,3.60,6.63,2.47,0.97,34.64,39.49,0.03,6.69,17.50,0.12,
,SAR,BTN,Lower middle income,Bhutan,2007,2.76,2.40,15.29,0.03,3.03,2.10,0.01,0.14,0.19,0.22,
*New survey*,SAR,BTN,Lower middle income,Bhutan ,2012,4.12,2.92,1.31,0.51,17.20,27.64,0.17,0.77,2.18,0.18,
,LAC,BOL,Lower middle income,Bolivia,2006,6.93,16.14,1.63,2.24,44.04,27.63,0.96,9.38,10.32,0.05,
,LAC,BOL,Lower middle income,Bolivia,2007,72.61,58.35,2.05,0.69,36.67,26.67,1.24,12.13,14.59,0.07,
*New survey*,LAC,BOL,Lower middle income,Bolivia,2008,84.88,73.44,14.67,1.07,55.84,17.39,6.63,23.52,37.17,0.18,
*New survey*,LAC,BOL,Lower middle income,Bolivia,2009,90.20,79.08,14.64,1.15,58.85,17.23,7.10,25.59,36.39,0.18,
*New survey*,LAC,BOL,Lower middle income,Bolivia,2011,88.35,76.48,14.60,1.23,38.60,13.82,6.20,21.24,34.76,0.19,
*New survey*,LAC,BOL,Lower middle income,Bolivia,2012,88.47,76.75,15.10,1.24,41.14,13.50,6.11,21.63,32.77,0.19,
,ECA,BIH,Upper middle income,Bosnia and Herzegovina,2007,57.27,57.62,12.41,2.96,30.16,17.87,9.44,30.80,47.54,0.23,
,AFR,BWA,Upper middle income,Botswana,2009,91.63,73.77,13.15,0.50,25.06,10.33,3.94,20.07,38.70,0.18,
,LAC,BRA,Upper middle income,Brazil,2006,67.57,53.93,1.50,3.63,66.32,46.67,5.25,32.38,44.74,0.08,
,LAC,BRA,Upper middle income,Brazil,2009,33.87,45.46,2.48,3.93,46.35,40.97,7.53,36.31,50.82,0.11,
*New survey*,LAC,BRA,Upper middle income,Brazil,2011,35.94,45.34,2.64,4.56,42.82,40.60,8.55,37.76,52.26,0.13,
*New survey*,LAC,BRA,Upper middle income,Brazil,2012,36.77,46.38,2.86,5.02,42.82,39.47,9.14,38.62,53.84,0.14,
,ECA,BGR,Upper middle income,Bulgaria,2007,86.93,73.61,18.18,2.60,53.88,32.19,28.08,51.14,72.23,0.39,
,AFR,BFA,Low income,Burkina Faso,2003,31.49,34.27,2.71,0.12,106.05,50.21,1.04,6.73,19.06,0.15,
,AFR,BFA,Low income,Burkina Faso,2009,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
,EAP,KHM,Low income,Cambodia,2008,1.86,3.17,1.20,0.25,2.62,7.02,-0.08,0.81,0.92,0.07,
,AFR,CMR,Lower middle income,Cameroon,2007,1.14,4.04,1.63,0.99,32.71,26.93,0.22,3.34,7.86,0.10,
,AFR,CPV,Lower middle income,Cape Verde,2007,33.83,29.68,7.59,0.60,20.25,14.74,2.20,14.50,28.31,0.17,
,LAC,CHL,High income,Chile,2006,97.25,91.77,7.88,1.19,22.60,18.68,5.93,27.75,44.11,0.19,
,LAC,CHL,High income,Chile,2009,97.54,92.65,9.89,1.60,24.88,17.49,7.70,33.13,50.75,0.24,
*New survey*,LAC,CHL,High income,Chile,2011,95.96,83.75,9.96,1.63,22.28,17.97,6.57,28.19,45.45,0.23,
,LAC,COL,Upper middle income,Colombia,2010,66.65,52.30,3.80,1.74,15.72,18.83,0.12,8.56,16.07,0.06,
,LAC,COL,Upper middle income,Colombia,2011,63.78,51.60,3.02,1.88,16.67,16.94,0.16,7.13,14.13,0.04,
,LAC,COL,Upper middle income,Colombia,2012,61.33,48.86,2.84,1.98,13.96,19.40,-0.40,7.20,12.99,0.04,
,AFR,COM,Low income,Comoros,2004,0.89,1.98,0.62,0.91,5.44,13.22,0.11,0.66,0.85,0.04,
,AFR,ZAR,Low income,Congo Democratic Republic,2005,5.16,6.53,1.98,0.05,16.40,14.72,0.07,0.54,1.82,0.09,
,AFR,COG,Lower middle income,Congo Republic,2005,4.89,8.91,4.62,1.29,126.17,66.99,3.04,13.01,29.92,0.12,
,LAC,CRI,Upper middle income,Costa Rica,2008,82.27,66.22,5.75,1.22,52.02,38.09,3.08,18.21,34.44,0.16,
,LAC,CRI,Upper middle income,Costa Rica,2009,82.11,68.49,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
*New survey*,LAC,CRI,Upper middle income,Costa Rica,2010,82.23,67.15,5.66,1.71,25.11,27.06,1.88,19.06,28.33,0.11,
*New survey*,LAC,CRI,Upper middle income,Costa Rica,2011,82.98,67.95,5.59,1.73,23.33,26.05,2.15,18.97,27.37,0.11,
*New survey*,LAC,CRI,Upper middle income,Costa Rica,2012,80.14,67.33,5.41,1.93,24.96,24.66,2.20,19.33,27.07,0.10,
,AFR,CIV,Lower middle income,Cote D'Ivoire,2002,27.68,25.30,5.75,0.28,11.46,14.43,1.05,7.03,14.27,0.15,
,ECA,HRV,High income,Croatia,2008,83.73,68.23,14.98,6.68,46.25,32.52,23.88,52.14,75.33,0.37,
,MNA,DJI,Lower middle income,Djibouti,2002,2.38,2.95,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
,MNA,DJI,Lower middle income,Djibouti,2012,35.69,21.85,10.28,0.63,28.90,28.95,2.59,9.10,17.70,0.19,
,LAC,DMA,Upper middle income,Dominica,2002,26.05,20.84,1.71,2.11,36.14,28.88,0.81,10.90,13.48,0.04,
,LAC,DOM,Upper middle income,Dominican Republic,2007,17.96,12.96,5.54,0.66,14.94,17.65,0.33,5.76,8.63,0.10,
,LAC,DOM,Upper middle income,Dominican Republic,2009,36.55,28.07,8.48,0.78,13.23,12.73,1.24,9.31,14.16,0.13,
*New survey*,LAC,DOM,Upper middle income,Dominican Republic,2011,39.25,31.28,7.90,0.55,14.11,12.87,1.06,9.47,15.08,0.12,
,LAC,ECU,Upper middle income,Ecuador,2008,84.67,63.09,9.68,0.53,24.77,20.84,2.95,17.07,28.14,0.15,
,LAC,ECU,Upper middle income,Ecuador,2010,86.15,70.42,7.76,0.69,26.30,24.15,3.38,19.61,32.11,0.14,
*New survey*,LAC,ECU,Upper middle income,Ecuador,2011,66.01,45.32,8.66,1.44,25.85,24.53,4.06,22.10,34.61,0.15,
*New survey*,LAC,ECU,Upper middle income,Ecuador,2012,66.01,45.32,8.66,1.44,25.85,24.53,4.06,22.10,34.61,0.15,
,MNA,EGY,Lower middle income,"Egypt, Arab Rep.",2008,60.29,55.45,7.17,0.68,14.96,21.03,6.46,29.46,52.13,0.22,
,LAC,SLV,Lower middle income,El Salvador,2007,53.29,34.97,1.68,0.57,48.53,28.80,-0.47,3.91,5.00,0.04,
*New survey*,LAC,SLV,Lower middle income,El Salvador,2008,56.63,39.67,2.88,0.50,20.44,28.37,0.07,4.57,7.76,0.07,
,LAC,SLV,Lower middle income,El Salvador,2009,68.02,48.20,2.54,0.52,12.03,27.31,-0.32,5.70,7.88,0.06,
*New survey*,LAC,SLV,Lower middle income,El Salvador,2010,78.79,62.34,2.99,0.39,12.92,26.56,-0.68,4.71,7.56,0.06,
*New survey*,LAC,SLV,Lower middle income,El Salvador,2011,75.45,58.06,3.33,0.40,11.62,24.05,-0.57,6.14,9.19,0.08,
*New survey*,LAC,SLV,Lower middle income,El Salvador,2012,77.27,60.19,2.99,0.42,11.05,26.27,-0.39,6.02,8.82,0.07,
,AFR,ETH,Low income,Ethiopia,2004,0.60,0.51,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
,AFR,ETH,Low income,Ethiopia,2010,16.21,13.25,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
,EAP,FJI,Upper middle income,Fiji,2008,15.92,14.33,9.49,1.09,38.12,24.20,2.91,12.53,25.61,0.23,
,AFR,GAB,Upper middle income,Gabon,2005,55.14,51.91,8.33,0.27,30.78,20.91,2.50,10.92,20.68,0.21,
,AFR,GMB,Low income,Gambia,1998,1.35,5.07,1.90,0.16,18.48,8.27,-0.04,0.81,1.99,0.07,
,ECA,GEO,Lower middle income,Georgia,2011,80.61,67.11,20.37,0.99,68.49,29.25,19.10,42.64,68.45,0.33,
,AFR,GHA,Lower middle income,Ghana,2005,3.34,6.47,3.57,0.01,1.90,1.83,0.00,0.00,0.03,0.04,
,AFR,GHA,Lower middle income,Ghana,2012,65.84,64.95,16.41,0.00,74.90,22.83,0.02,0.10,0.36,0.24,
,LAC,GTM,Lower middle income,Guatemala,2006,61.22,51.76,3.36,0.17,14.81,10.77,-0.18,1.57,3.72,0.04,
*New survey*,LAC,GTM,Lower middle income,Guatemala,2011,79.76,64.32,12.16,0.07,9.92,4.98,0.33,1.89,5.02,0.13,
,LAC,HTI,Low income,Haiti,2001,1.02,1.22,0.49,0.10,1.11,2.14,-0.03,0.03,0.02,0.01,
*New survey*,LAC,HND,Lower middle income,Honduras,2008,67.79,51.48,11.61,0.22,12.76,5.55,0.93,6.76,13.12,0.14,
*New survey*,LAC,HND,Lower middle income,Honduras,2009,61.71,50.48,2.69,1.04,12.31,21.67,2.36,18.06,26.17,0.08,
*New survey*,LAC,HND,Lower middle income,Honduras,2010,65.49,50.52,1.87,0.23,5.98,8.93,-0.26,2.56,3.79,0.04,
,LAC,HND,Lower middle income,Honduras,2011,63.80,50.90,6.32,0.25,19.93,11.19,0.54,6.83,9.67,0.10,
,ECA,HUN,High income,Hungary,2007,97.34,89.44,15.37,6.32,80.80,50.41,43.22,64.81,86.66,0.42,
,SAR,IND,Lower middle income,India,2004,30.28,27.22,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
,SAR,IND,Lower middle income,India,2009,22.61,21.45,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
*New survey*,SAR,IND,Lower middle income,India ,2011,30.45,29.71,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
,EAP,IDN,Lower middle income,Indonesia,2009,68.16,44.02,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
*New survey*,EAP,IDN,Lower middle income,Indonesia,2011,82.36,55.24,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
,MNA,IRQ,Upper middle income,Iraq,2006,89.95,86.01,12.44,0.30,10.23,7.55,4.83,22.13,35.43,0.21,
*New survey*,MNA,IRQ,Upper middle income,Iraq,2012,89.45,83.56,9.13,0.31,9.63,9.52,3.54,22.64,35.71,0.17,
,LAC,JAM,Upper middle income,Jamaica,2002,47.60,33.15,8.42,0.02,0.54,0.85,0.00,0.38,0.44,0.09,
,LAC,JAM,Upper middle income,Jamaica,2010,85.83,68.81,17.43,0.25,11.81,11.59,2.07,10.41,18.71,0.24,
,MNA,JOR,Upper middle income,Jordan,2006,87.34,81.95,13.19,1.13,27.25,19.18,13.45,39.79,64.10,0.29,
,MNA,JOR,Upper middle income,Jordan,2010,85.13,73.19,12.17,1.15,20.78,18.49,8.76,33.97,56.85,0.25,
,ECA,KAZ,Upper middle income,Kazakhstan,2007,56.93,45.81,13.32,0.54,10.06,9.06,3.13,15.98,23.54,0.19,
*New survey*,ECA,KAZ,Upper middle income,Kazakhstan,2010,58.59,48.31,13.16,0.60,9.85,9.10,2.76,16.59,24.92,0.18,
,AFR,KEN,Lower middle income,Kenya,2005,34.73,21.58,3.47,0.22,6.98,18.88,0.22,3.60,7.40,0.08,
,EAP,KIR,Lower middle income,Kiribati,2006,5.55,4.71,8.71,0.32,8.24,5.81,0.11,0.91,1.21,0.15,
,ECA,KSV,Lower middle income,Kosovo,2006,32.66,25.50,24.75,0.66,46.51,21.97,8.06,17.85,43.18,0.38,
*New survey*,ECA,KSV,Lower middle income,Kosovo,2011,60.63,44.41,25.78,0.64,36.60,18.88,11.78,27.17,51.15,0.38,
,ECA,KGZ,Lower middle income,Kyrgyz Republic,2006,44.23,36.66,11.55,0.83,37.98,27.88,8.67,27.42,47.39,0.24,
*New survey*,ECA,KGZ,Lower middle income,Kyrgyz Republic,2011,67.17,59.95,15.60,0.89,58.69,38.10,18.45,42.74,67.50,0.34,
,EAP,LAO,Lower middle income,Lao PDR,2007,0.30,1.65,2.30,1.13,68.80,29.84,0.11,1.48,4.22,0.14,
,ECA,LVA,High income,Latvia,2008,80.77,78.08,16.56,4.54,65.58,27.93,21.50,46.26,71.56,0.30,
*New survey*,ECA,LVA,High income,Latvia,2009,89.89,80.30,15.38,3.95,59.16,32.42,27.93,51.26,76.55,0.37,
,MNA,LBN,Upper middle income,Lebanon,2004,25.47,54.56,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
,AFR,LSO,Lower middle income,Lesotho,2010,7.67,6.32,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
,AFR,LSO,Lower middle income,Lesotho,2014,64.06,51.91,13.96,0.24,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
,AFR,LBR,Low income,Liberia,2007,66.06,62.59,0.04,0.01,2.57,36.01,-0.26,0.35,0.80,0.06,
,ECA,LTU,High income,Lithuania,2008,91.89,81.91,20.17,4.50,80.09,33.19,27.40,51.33,78.63,0.36,
,AFR,MDG,Low income,Madagascar,2010,3.24,6.55,8.93,0.02,17.29,24.12,-0.07,0.16,0.67,0.08,
,AFR,MWI,Low income,Malawi,2004,60.76,51.43,12.27,0.02,2.39,1.97,0.48,2.98,5.56,0.15,
,AFR,MWI,Low income,Malawi,2010,19.85,20.89,3.77,0.02,8.80,7.97,-0.17,0.22,0.86,0.04,
,EAP,MYS,Upper middle income,Malaysia,2008,94.11,84.09,10.16,0.55,8.36,4.51,2.53,12.25,21.97,0.16,
,SAR,MDV,Upper middle income,Maldives,2004,4.90,8.22,12.72,0.40,21.63,5.05,0.03,0.36,2.17,0.12,
,AFR,MLI,Low income,Mali,2009,0.56,1.31,0.40,0.32,2.04,15.51,0.03,0.85,1.20,0.10,
,EAP,MHL,Upper middle income,Marshall Islands,1999,10.25,22.95,0.77,0.40,8.33,8.33,0.26,0.92,0.96,0.01,
,AFR,MRT,Lower middle income,Mauritania,2008,36.27,39.40,7.69,1.62,60.70,45.34,6.47,23.92,41.50,0.10,
,AFR,MUS,Upper middle income,Mauritius,2006,45.26,40.87,13.79,2.08,42.37,26.43,10.77,32.63,56.23,0.29,
*New survey*,AFR,MUS,Upper middle income,Mauritius,2012,54.77,46.63,11.90,2.89,63.01,46.21,18.70,44.97,70.87,0.30,
,LAC,MEX,Upper middle income,Mexico,2008,67.68,73.91,7.16,0.89,44.05,28.60,1.72,15.64,26.71,0.12,
,LAC,MEX,Upper middle income,Mexico,2010,83.01,82.28,11.65,1.05,43.61,28.47,4.81,24.40,41.65,0.18,
*New survey*,LAC,MEX,Upper middle income,Mexico,2012,92.21,86.74,8.63,1.12,31.92,28.59,3.45,21.14,38.92,0.13,
,EAP,FSM,Lower middle income,Micronesia,2000,11.99,22.30,1.81,1.45,56.74,27.90,3.98,21.43,31.87,0.11,
